par_id,rmse,nse,r,re,mae,LL
p0025,2.29871512253308,0.611637834771312,0.974513698358186,-0.22785358928057,2.10937051911992,49872.1993778053
p0026,2.69554010299866,0.465979163428241,0.918724425938041,-0.222060176024402,2.23915506322167,66361.1517106388
p0027,2.76534419498819,0.437962883690494,0.930770921570731,-0.261090520154316,2.45100772339221,69532.6697320479
p0028,1.49635514811545,0.835435569123266,0.979831985864202,-0.1455138989451,1.30472442644411,24537.6955003533
p0029,2.28735612007173,0.615466501802388,0.951856894542878,-0.218350945727183,2.04544795520521,49438.7839992933
p0030,3.1992561082111,0.247745795990083,0.941543451094213,-0.30216092147773,2.88553505573073,91065.7543267517
p0031,1.80085695841108,0.761644573076066,0.964705850474365,-0.15441257343966,1.49867550627406,32891.0342009982
p0032,1.2762557016876,0.880286811403273,0.982242825874327,-0.120976453299799,1.10955060208083,19460.4145585167
p0033,1.54246805608584,0.825136581116282,0.941640512051021,-0.101697597380216,1.33545385901008,25703.5685703033
p0034,2.99303066030344,0.341601338419229,0.95244665916242,-0.288056942762055,2.71963649509276,80441.0551515038
p0035,1.7037735717589,0.786651122312763,0.973185139198143,-0.164903155577331,1.50101854162947,30060.2257460633
p0036,2.32369124196366,0.603152681476539,0.932145357619364,-0.212029914377977,2.02154452350472,50832.741492629
p0037,2.83968447352507,0.407338410251773,0.967293860923222,-0.265640355344381,2.57716333065874,72999.4422770195
p0038,2.11477271117545,0.671304314709054,0.934496752242033,-0.187388999951636,1.83006399193935,43117.7937904842
p0039,3.49427072933812,0.102613135239271,0.942610386987203,-0.323393404366816,3.15843785080632,107495.160849491
p0040,1.55643229174102,0.821956110498164,0.936708292556791,-0.0896531296943158,1.33099529084451,26063.6063760485
p0041,2.13163077323206,0.666042985057265,0.972730036543725,-0.209415943625726,1.9296307013648,43713.3904208512
p0042,1.55673585588644,0.821886652916045,0.937557879708422,-0.0947180135529505,1.3477845960349,26071.4691606679
p0043,2.09700688343561,0.6768037448662,0.932764128760705,-0.183067912746147,1.80593096644315,42495.243544194
p0044,2.35603715277256,0.592027511873892,0.941517133792935,-0.22120309260042,2.05307592157615,52092.1405354823
p0045,1.53943929472504,0.825822623966787,0.944062589827357,-0.106804003232242,1.33904232994433,25625.9066792813
p0046,2.30288931983089,0.610226113806973,0.976610718423127,-0.225544243866396,2.11069878765029,50032.0099779818
p0047,1.62899732057622,0.804967338294536,0.94242615824665,-0.121659935826363,1.39637806897453,27986.7809627452
p0048,1.27276992928929,0.880939851483687,0.982498482750551,-0.120873410001794,1.08843335761924,19386.4886696006
p0049,1.83493754092094,0.75253762321965,0.977538779314898,-0.178488305397523,1.64027282686014,33921.965354601
p0050,1.89708017453689,0.735492507292253,0.97249377585109,-0.179732645899804,1.66478651412385,35851.5182019731
p0051,2.60114769852838,0.502724990964502,0.868221044450453,-0.175175417249454,1.98914864471101,62201.4254609818
p0052,1.6316600059106,0.804329234078772,0.959277530301552,-0.144557426733013,1.40399911509461,28059.0160717168
p0053,2.38350495659821,0.582459384875623,0.973229154015849,-0.224329854701692,2.15678558152301,53175.2781786739
p0054,2.08053727563225,0.681860488245341,0.934185765019162,-0.182336571821873,1.79534830950424,41922.8066287038
p0055,1.23069289700119,0.888681845941927,0.979914703702592,-0.111141625108898,1.05186618850089,18510.0741286338
p0056,2.4268608002008,0.567131142883304,0.968669442476557,-0.233684697087129,2.19739851881444,54910.4762909935
p0057,1.73449372808855,0.778888120882951,0.980038767425171,-0.169139000221023,1.54981293517613,30939.0183325644
p0058,1.5821441279464,0.816025049258786,0.943698953031339,-0.115031515080556,1.35125433353599,26735.0184187197
p0059,1.52786790750375,0.828431234894119,0.93786398205987,-0.0862199556580786,1.31703502874067,25330.6049245758
p0060,2.37398377231597,0.585788550080789,0.977633418000976,-0.23464513405423,2.19511277673201,52798.407746794
p0061,1.23033041178613,0.888747411027487,0.980987303777465,-0.111515639657941,1.02293443167963,18502.6519850667
p0062,2.54877620903642,0.522547669856635,0.946695488231419,-0.242624747552982,2.2647795399169,59957.4450350476
p0063,1.98606353825841,0.710096883170559,0.937438783423937,-0.172295160062845,1.71113894319641,38726.370977603
p0064,1.69906359354289,0.787829071817311,0.981707359914411,-0.167091881936355,1.52639646369595,29926.878702239
p0065,2.78406758926581,0.430326317107141,0.945938999790966,-0.268427234760642,2.49369954551102,70397.1495547619
p0066,1.74379105569704,0.77651133598573,0.948948929690259,-0.149684554579782,1.50758233395166,31208.0767587763
p0067,3.33505303695203,0.182529484355321,0.955191486591731,-0.308020775795041,3.01981678325056,98448.4157498813
p0068,1.16291339753629,0.900605728324931,0.979916857932619,-0.101011262916266,0.986624112218478,17160.2586564565
p0069,1.8300706806242,0.753848586239443,0.977031106087136,-0.179791585139023,1.65724384276698,33773.5608240354
p0070,2.82018934501555,0.415448010734865,0.928582412306987,-0.266431581875219,2.49895548410787,72081.4137479175
p0071,1.22910422742627,0.888969055888161,0.977840076129001,-0.107679413935948,1.043772435891,18477.5611922648
p0072,2.43625446975099,0.56377363956815,0.973597172262062,-0.240780287622594,2.24325431266369,55290.5546729425
p0073,2.93062165767313,0.368772200010394,0.929309667536257,-0.277382742409436,2.60433960939254,77365.240732165
p0074,1.10532258898749,0.910206541532519,0.974469523144865,-0.0869559372875639,0.926842687571048,16073.4208466875
p0075,2.04671945568518,0.692118748190756,0.944047684869022,-0.185702524819676,1.77551786698363,40761.5440845785
p0076,2.97641499372842,0.348891184846585,0.961196110369691,-0.279064127739734,2.7009971174253,79615.8249805431
p0077,2.38166749213715,0.58310290803046,0.938380804308435,-0.222629484967843,2.0920333456304,53102.4296312627
p0078,2.42913348156939,0.56632002621499,0.966640539236842,-0.218767708272721,2.15190953783317,55002.2968737085
p0079,2.63164835236566,0.490994678908494,0.970265211925712,-0.243993175565388,2.37563851636251,63529.328252881
p0080,2.33259238737891,0.600106526949788,0.90767603513984,-0.168685659184156,1.79720523556398,51177.5743565218
p0081,2.11425525220137,0.671465150643951,0.950133879160424,-0.197728879363362,1.83827997004895,43099.5867312033
p0082,2.20687004575419,0.642051845368656,0.918340276341218,-0.160914218901405,1.70636234647954,46429.2517910548
p0083,1.71710239398677,0.783299958086128,0.943494588609568,-0.137912909599271,1.47997961956642,30439.5865261869
p0084,2.40294279334502,0.575621404334625,0.952982132944388,-0.230995518293226,2.118472735985,53949.3559191456
p0085,3.26440320362442,0.216797259066021,0.953265969584332,-0.300145649032243,2.9490260389704,94569.2117275807
p0086,1.25435848709859,0.884359502029508,0.979774393815194,-0.114894067385935,1.06580282205251,18999.3750544271
p0087,1.68444291870313,0.791464880673835,0.936352500565944,-0.121459861952384,1.45391023767976,29515.2953864382
p0088,2.07100391462878,0.684769342742109,0.937516368599772,-0.183915412036144,1.78643478823011,41593.5164965195
p0089,1.663913911323,0.79651691500002,0.971937148319201,-0.160511848318327,1.45644303006102,28943.3915483749
p0090,2.91045611244601,0.377429242822883,0.957126558626338,-0.260150307068291,2.59056422003979,76385.2402628334
p0091,2.13290511330194,0.665643570655367,0.938173053648192,-0.192089976890196,1.85052538866892,43758.6052025955
p0092,1.42643606799603,0.850455229318655,0.982045425008476,-0.137706564731126,1.24981782265789,22837.4296752325
p0093,1.9145887669341,0.730587575034515,0.947163666269833,-0.171141615056865,1.66903620014912,36406.7696912795
p0094,2.23436471993665,0.633077166528697,0.932195869334548,-0.201281726973279,1.93173646202576,47445.2095107708
p0095,2.6613523542102,0.479439317768509,0.930362109129953,-0.250179243720519,2.34698506446588,64837.4261317715
p0096,1.69749708887913,0.788220126668737,0.950137707729574,-0.144297953210467,1.46603700330368,29882.6102440331
p0097,2.0088398531941,0.703409497835843,0.936856334473077,-0.174194874320314,1.73038626638315,39483.4009367442
p0098,3.17337848613292,0.259866001695255,0.933356525569259,-0.299200701650783,2.83922605646337,89693.7145278577
p0099,2.51839782606705,0.533861172465571,0.931767059286491,-0.21083578213277,2.10488505978195,58676.7261906696
p0100,0.995925707096092,0.927101180899783,0.980219335500512,-0.081198736433681,0.807991246623078,14160.9023495834
p0101,2.08057168049238,0.681849966313309,0.946503157245004,-0.192246305725028,1.80053616432067,41923.9977396355
p0102,2.30630705445657,0.60906832283753,0.949181164982041,-0.219269021295917,2.05636850614601,50163.0750215559
p0103,3.14345961361096,0.273756300149174,0.941945482541268,-0.298188570126907,2.83432727127788,88121.2954814415
p0104,1.4514165326117,0.845171559555629,0.977969267959348,-0.137031408404277,1.23926996488428,23435.5552661201
p0105,2.47557641859014,0.549578324129504,0.949711481266939,-0.237477056926273,2.19279553477612,56897.5024602532
p0106,1.5041073822181,0.833726019566715,0.980154366855754,-0.144833898001278,1.32896563773179,24731.2210961086
p0107,2.7367686192972,0.449518446095749,0.934898871933372,-0.259382072134218,2.43536483277678,68224.5490693888
p0108,2.23485823620489,0.632915060150792,0.94559949205927,-0.209186311672945,1.94456272347512,47463.5603876082
p0109,2.16212187128811,0.656420733770577,0.974425864678849,-0.214549579913445,1.97089457712865,44802.6550786831
p0110,1.63559458397789,0.803384416964666,0.983390445904262,-0.161473067370832,1.47785893043934,28165.9719035535
p0111,1.62994605992399,0.804740095387743,0.957608947358021,-0.1427183951429,1.39800376386251,28012.5054693848
p0112,2.50842612371489,0.537545257027342,0.938596673839561,-0.236529322619447,2.22661840287966,58259.6779355328
p0113,2.24131356000473,0.630791368861207,0.970929480193556,-0.218918931319509,2.02768337746645,47703.9679384992
p0114,2.78091648831538,0.431615138839607,0.93957683625429,-0.266124148812143,2.46482369005437,70251.2514773169
p0115,2.80788004035612,0.420539672798961,0.911934945160346,-0.226942246173471,2.32136934428659,71505.0239436192
p0116,1.78858849338767,0.764881137043346,0.938348570802764,-0.143157407592288,1.53484029900543,32524.6464776546
p0117,2.49510211381694,0.542445052020864,0.938298628379286,-0.234827680655441,2.20986203473371,57705.0079983167
p0118,2.12635162440256,0.66769507761729,0.93633125535385,-0.189843861221694,1.84822321526539,43526.369111234
p0119,1.57580893220433,0.817495438499937,0.933993039359208,-0.0884652722470677,1.35061101854502,26568.5664122275
p0120,1.49523693365424,0.835681432638906,0.984622738581099,-0.144324396203967,1.33347995628388,24509.8630908415
p0121,1.85385710380014,0.747408274982814,0.970632946694559,-0.177406068173821,1.61969238378574,34502.6213347484
p0122,2.54179920877509,0.525158040779221,0.918912613049615,-0.201136072641425,2.05554200911035,59661.9440441581
p0123,1.2113402362137,0.892155278288634,0.978749107505086,-0.106507484946621,1.02389670803194,18116.8722693276
p0124,2.93404637688464,0.367296034642732,0.96300991063013,-0.276245142709203,2.66757802641083,77532.3466116731
p0125,2.76644225999547,0.437516446808473,0.944061151586646,-0.265844848001778,2.46579461522427,69583.2075846823
p0126,2.65221792905606,0.483006573619232,0.929985758072578,-0.249044122523243,2.3363719856154,64433.6032001244
p0127,1.73422201785141,0.778957390266251,0.960347704467023,-0.142760523904513,1.39495404876136,30931.1768525562
p0128,2.31683797347707,0.605490075156143,0.967578768280081,-0.207948762233418,2.04209127041836,50568.1422579204
p0129,1.98117638433856,0.711521870788865,0.960569546922387,-0.170513952798359,1.65827562704475,38565.0585566089
p0130,2.50878646007627,0.537412383886923,0.933167795004128,-0.23433221725144,2.18955104871208,58274.7195314672
