datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
-12267	4.914746	0	13.475488	324.15038	9.565939	304.74106	0
-12266	3.9863615	0	14.225671	151.33737	12.53331	353.366	3.42739e-05
-12265	3.5527564	0	11.902643	152.30942	12.286076	343.62976	3.2928811e-05
-12264	3.258156	0	9.6819397	171.98268	10.759054	323.34595	0.00025222556
-12263	6.305236	0	8.8756958	82.713461	10.520402	326.20819	0.00015630661
-12262	3.7168532	0	10.414545	180.99207	9.8868506	327.94562	7.2610233e-05
-12261	3.0506397	0	11.400964	114.57707	10.410406	329.26718	0.00026756557
-12260	3.3155007	0	11.730493	167.61663	10.940172	332.55212	6.9318712e-05
-12259	2.8049364	0	13.501428	169.76288	12.658033	339.23035	9.5133088e-05
-12258	2.5089486	0	12.815302	104.99487	13.951463	348.89478	0.00018167014
-12257	1.6885777	0	12.600854	118.57887	14.050821	345.97086	0.00035100026
-12256	4.403719	0	11.590631	173.63333	11.9034	337.00272	8.0569695e-05
-12255	8.0918501	0	10.242181	210.9593	9.3289434	317.93484	2.9371302e-05
-12254	6.8151551	0	11.171136	274.75331	8.7940616	315.94696	0
-12253	4.0557418	0	12.063867	221.38724	11.142777	337.65186	0
-12252	2.4730164	0	13.119135	264.29768	11.816268	326.38486	0
-12251	3.6937869	0	13.45321	271.5308	12.045085	332.29913	0
-12250	3.9929184	0	14.825372	286.98203	12.518936	330.41989	0
-12249	4.6106094	0	13.249902	155.74116	12.635895	349.11346	3.1619413e-05
-12248	8.1865676	0	11.107385	149.60984	10.882493	336.98929	8.0935572e-05
-12247	8.0409841	0	11.469263	100.81207	10.325735	338.56226	7.9012894e-05
-12246	4.647292	0	10.676599	189.521	10.271165	324.27893	0.00016391502
-12245	4.5916771	0	9.7337585	216.47223	9.5892954	306.71381	9.4713286e-05
-12244	3.714917	0	10.335138	231.77766	8.4469842	308.04648	4.7703752e-06
-12243	2.9027578	0	11.034296	232.32642	8.8354117	316.40781	0
-12242	4.8419609	0	12.790399	82.85598	12.690206	353.83316	5.5623691e-05
-12241	6.1348938	0	12.721246	143.05163	12.688984	339.25894	7.1626814e-05
-12240	7.7143162	0	11.294305	183.88188	9.3983975	328.08734	2.8559305e-05
-12239	6.1352825	0	11.268549	260.37574	8.9610629	310.44107	0
-12238	5.1922041	0	11.70965	267.668	10.64704	317.76904	0
-12237	3.8934833	0	13.030725	246.51924	11.473209	332.177	0
-12236	1.5388741	0	14.25863	264.03124	12.143342	334.48331	0
-12235	2.9983563	0	13.979761	222.30146	12.114976	329.96661	0
-12234	3.481357	0	14.025232	234.3696	12.227075	329.74069	0
-12233	6.1561352	0	14.322595	235.03956	12.99436	337.47086	7.581603e-05
-12232	5.4503186	0	13.595361	181.56816	13.108509	346.18878	4.191171e-05
-12231	6.8409963	0	13.945917	83.842992	14.636969	355.70575	0.00011906817
-12230	5.0112561	0	12.557123	256.42399	10.586533	318.28125	7.0804834e-06
-12229	2.7716995	0	12.412042	243.80046	10.043342	323.01611	0
-12228	3.2459692	0	13.896539	155.05653	12.781578	345.79315	2.3025294e-05
-12227	4.077362	0	14.164545	219.75351	13.189207	344.92355	2.3098158e-05
-12226	4.4218136	0	13.119928	220.96041	11.27195	332.86707	1.0741928e-05
-12225	3.0914572	0	13.055231	118.31044	11.89202	334.0986	4.6104534e-05
-12224	2.7222277	0	13.498865	288.3286	11.7543	318.42029	0
-12223	5.5227785	0	14.621942	115.31969	14.555015	359.21982	6.6870568e-05
-12222	6.3403467	0	14.969019	97.027198	15.933163	366.58069	0.00012837183
-12221	6.2914341	0	12.498132	177.65084	11.088832	338.82748	2.146186e-05
-12220	5.6963976	0	12.554315	211.87948	11.009548	334.83707	6.4243347e-06
-12219	5.9793637	0	11.580408	121.79792	11.048851	338.95697	2.7237964e-05
-12218	6.6657229	0	11.381433	180.58652	9.752276	324.83731	4.7438756e-05
-12217	4.0221652	0	12.279199	214.23937	9.7703729	321.9534	3.5338863e-05
-12216	5.0575916	0	13.883722	175.23017	13.902255	352.99249	6.4159631e-05
-12215	4.9228641	0	13.514703	104.66585	14.097698	355.83047	0.00014770798
-12214	4.6589327	0	14.225153	163.87455	14.793052	347.42853	0.00023063637
-12213	3.1402131	0	14.807458	162.49852	14.097753	354.38266	4.5923511e-05
-12212	4.2098306	0	15.646906	146.58716	15.313977	365.72794	9.3889626e-05
-12211	5.8497204	0	15.59115	145.38516	16.818691	371.78644	0.00032514531
-12210	4.2243069	0	14.777094	154.90231	15.144679	362.42078	0.00022642881
-12209	5.4808736	0	12.900293	57.769586	13.788886	348.50555	0.0002150393
-12208	6.7895558	0	11.693903	163.59275	11.399358	324.9411	0.00034796683
-12207	5.5599094	0	12.465082	168.2609	13.0481	342.9996	0.00029617455
-12206	5.1722005	0	12.261865	142.07354	12.38313	341.0817	0.00014689469
-12205	4.0295634	0	12.362817	182.59717	11.384479	337.96848	2.5203505e-05
-12204	3.7093328	0	12.301691	181.70915	10.733542	335.81277	9.1188597e-05
-12203	6.707908	0	13.706598	107.49625	13.764044	351.48209	0.0004579326
-12202	6.5023411	0	14.185724	52.138299	15.039816	356.32581	0.00081927802
-12201	5.1642127	0	12.090723	214.62131	11.067851	319.5668	3.4013822e-05
-12200	4.1998542	0	11.544489	159.71729	11.787183	333.04056	0.00038508229
-12199	5.3364701	0	12.156396	252.77417	10.779013	328.46777	0.00021329417
-12198	5.1801491	0	13.379572	143.59323	13.321892	357.55771	0.0002213559
-12197	5.2814596	0	15.06109	85.281299	16.144019	373.38693	0.00013481244
-12196	5.8979615	0	15.023035	64.993124	16.423236	369.97464	0.00059232369
-12195	4.4525425	0	12.755884	115.72229	13.11419	338.73288	0.00041587237
-12194	7.4098725	0	11.318292	44.496922	12.528636	337.08832	0.0011397817
-12193	5.6473248	0	11.06933	206.05855	10.894935	306.30319	0.00027575704
-12192	6.140806	0	11.849969	51.270736	12.404795	343.50836	0.000603424
-12191	5.2367768	0	12.812158	188.83075	11.446596	327.22232	3.6032466e-05
-12190	3.5581006	0	12.267969	213.91628	11.049257	322.4024	8.0706752e-05
-12189	5.6475916	0	12.504358	152.41689	12.207227	342.98514	5.1994779e-05
-12188	6.0233402	0	11.843286	79.85982	12.273401	346.88043	0.00022035395
-12187	5.9798244	0	10.604425	152.97732	10.758803	326.47717	0.00015255685
