Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
      116   116.000       10.0890       10.0890       10.0890      0.587856      0.205684E-01   0.00000      -184.045      -6.97213      -100.492       268.674       0.00000      -361.269       16.0500      0.500000       5.00000       4.00000       1.32984       0.00000       0.00000       0.00000       0.00000    
      117   117.000       10.1958       10.1958       10.1958      0.747559      0.261508E-01   0.00000      -67.9458       5.09384      -37.7466       144.107       0.00000      -361.814       16.0500      0.500000       5.00000       4.00000       1.35316       0.00000       0.00000       0.00000       0.00000    
      118   118.000       10.2917       10.2917       10.2917      0.877696      0.306976E-01   0.00000      -136.739       3.84008      -70.3683       260.981       0.00000      -362.304       16.0500      0.500000       5.00000       4.00000       1.37410       0.00000       0.00000       0.00000       0.00000    
      119   119.000       10.4491       10.4491       10.4491      0.283327      0.990639E-02   0.00000      -140.466     -0.384052      -69.7685       257.997       0.00000      -363.110       16.0500      0.500000       5.00000       4.00000       1.40849       0.00000       0.00000       0.00000       0.00000    
      120   120.000       10.5980       10.5980       10.5980      0.395985      0.138415E-01   0.00000      -194.576      -30.0639      -97.3886       224.751       0.00000      -363.873       16.0500      0.500000       5.00000       4.00000       1.44100       0.00000       0.00000       0.00000       0.00000    
      121   121.000       10.6348       10.6348       10.6348      0.552527      0.193120E-01  0.335379E-02  -163.294      -25.3114      -87.1181       176.589       0.00000      -364.061       16.0500      0.500000       5.00000       4.00000       1.44904       0.00000       0.00000       0.00000       0.00000    
      122   122.000       10.6500       10.6500       10.6500       1.09916      0.384168E-01  0.485647E-02  -92.6452      -18.6352      -39.9948       74.3518       0.00000      -364.139       16.0500      0.500000       5.00000       4.00000       1.45236       0.00000       0.00000       0.00000       0.00000    
      123   123.000       10.6247       10.6247       10.6247      0.779276      0.272379E-01   0.00000      -161.487      -23.9629      -73.4015       222.512       0.00000      -364.010       16.0500      0.500000       5.00000       4.00000       1.44683       0.00000       0.00000       0.00000       0.00000    
      124   124.000       10.7010       10.7010       10.7010      0.823734      0.287876E-01   0.00000      -85.7495      -8.13725      -43.7517       132.509       0.00000      -364.401       16.0500      0.500000       5.00000       4.00000       1.46351       0.00000       0.00000       0.00000       0.00000    
      125   125.000       10.7591       10.7591       10.7591      0.531562      0.185748E-01   0.00000      -80.5990     -0.708363      -46.8280       137.275       0.00000      -364.700       16.0500      0.500000       5.00000       4.00000       1.47619       0.00000       0.00000       0.00000       0.00000    
      126   126.000       10.8298       10.8298       10.8298      0.597436      0.208738E-01   0.00000      -81.9741       7.35620      -50.2093       166.201       0.00000      -365.063       16.0500      0.500000       5.00000       4.00000       1.49164       0.00000       0.00000       0.00000       0.00000    
      127   127.000       10.9359       10.9359       10.9359      0.969923      0.338812E-01  0.314589E-02  -98.0433      -21.8127      -40.8961       104.040       0.00000      -365.609       16.0500      0.500000       5.00000       4.00000       1.51480       0.00000       0.00000       0.00000       0.00000    
      128   128.000       10.9416       10.9416       10.9416       1.26404      0.441549E-01   0.00000      -118.175      -25.1517      -53.5636       138.643       0.00000      -365.639       16.0500      0.500000       5.00000       4.00000       1.51605       0.00000       0.00000       0.00000       0.00000    
      129   129.000       10.9659       10.9659       10.9659      0.833524      0.291149E-01   0.00000      -178.506      -30.1908      -82.0878       230.679       0.00000      -365.764       16.0500      0.500000       5.00000       4.00000       1.52136       0.00000       0.00000       0.00000       0.00000    
      130   130.000       11.0308       11.0308       11.0308      0.983251      0.343405E-01  0.505734E-02  -178.682      -41.5937      -85.5824       170.751       0.00000      -366.098       16.0500      0.500000       5.00000       4.00000       1.53554       0.00000       0.00000       0.00000       0.00000    
      131   131.000       11.0187       11.0187       11.0187      0.926646      0.323643E-01  0.660025E-02  -130.255      -28.7372      -64.5370       73.6100       0.00000      -366.036       16.0500      0.500000       5.00000       4.00000       1.53289       0.00000       0.00000       0.00000       0.00000    
      132   132.000       10.9441       10.9441       10.9441       1.17612      0.410834E-01  0.428413E-02  -205.515      -45.5105      -95.0681       214.553       0.00000      -365.651       16.0500      0.500000       5.00000       4.00000       1.51660       0.00000       0.00000       0.00000       0.00000    
      133   133.000       10.9538       10.9538       10.9538      0.727545      0.254136E-01  0.503137E-02  -220.265      -51.7469      -102.754       218.543       0.00000      -365.701       16.0500      0.500000       5.00000       4.00000       1.51871       0.00000       0.00000       0.00000       0.00000    
      134   134.000       10.9496       10.9496       10.9496      0.817970      0.285725E-01  0.534268E-02  -217.119      -49.1047      -106.026       208.242       0.00000      -365.680       16.0500      0.500000       5.00000       4.00000       1.51780       0.00000       0.00000       0.00000       0.00000    
      135   135.000       10.9363       10.9363       10.9363      0.236729      0.826936E-02  0.423377E-02  -157.879      -41.0707      -69.0429       160.683       0.00000      -365.611       16.0500      0.500000       5.00000       4.00000       1.51489       0.00000       0.00000       0.00000       0.00000    
      136   136.000       10.9380       10.9380       10.9380      0.407247      0.142258E-01   0.00000      -198.778      -30.6048      -96.3923       261.540       0.00000      -365.620       16.0500      0.500000       5.00000       4.00000       1.51525       0.00000       0.00000       0.00000       0.00000    
      137   137.000       11.0165       11.0165       11.0165      0.650115      0.227062E-01  0.711928E-02  -163.734      -41.0665      -83.7461       92.6566       0.00000      -366.024       16.0500      0.500000       5.00000       4.00000       1.53239       0.00000       0.00000       0.00000       0.00000    
      138   138.000       10.9234       10.9234       10.9234      0.191839      0.670144E-02   0.00000      -102.658      -2.12171      -38.8174       250.283       0.00000      -365.545       16.0500      0.500000       5.00000       4.00000       1.51207       0.00000       0.00000       0.00000       0.00000    
      139   139.000       11.1107       11.1107       11.1107      0.610615      0.213227E-01   0.00000      -104.037      -10.1358      -55.7653       155.590       0.00000      -366.510       16.0500      0.500000       5.00000       4.00000       1.55297       0.00000       0.00000       0.00000       0.00000    
